"date","RH","CM","CT","num_infect"
1958-01-01 09:00:00,92.6239,3.51667e-06,293.158,0.01
1958-01-01 15:00:00,83.6905,0,298.208,0
1958-01-01 21:00:00,80.0639,0,299.867,0
1958-01-02 03:00:00,94.5929,4.95911e-05,294.097,0.3
1958-01-02 09:00:00,92.6621,5.73695e-05,292.579,0.29
1958-01-02 15:00:00,84.9774,-8.47033e-22,298.424,0
1958-01-02 21:00:00,82.0506,0,299.526,0
1958-01-03 03:00:00,94.4469,9.41753e-05,293.725,0.23
1958-01-03 09:00:00,97.3741,0.000317454,294.369,1.2
1958-01-03 15:00:00,96.3333,0.000253528,294.204,2.17
1958-01-03 21:00:00,94.7633,0.00017193,294.015,3.15
1958-01-04 03:00:00,95.9708,0.000501007,293.291,2.74
1958-01-04 09:00:00,97.1819,0.000495762,292.884,2.64
1958-01-04 15:00:00,96.8781,0.000421911,292.694,2.87
1958-01-04 21:00:00,94.3104,0.000122935,293.898,9
1958-01-05 03:00:00,95.8815,0.000501007,293.176,6.61
1958-01-05 09:00:00,96.9704,0.000501007,293.483,9.72
1958-01-05 15:00:00,97.4618,0.000437438,293.747,13.16
1958-01-05 21:00:00,96.1628,8.70228e-05,294.98,24.64
1958-01-06 03:00:00,97.3276,0.000342131,294.106,19.64
1958-01-06 09:00:00,96.6634,0.000415385,294.028,20.7
1958-01-06 15:00:00,83.8385,-2.11758e-22,298.243,0
1958-01-06 21:00:00,78.8005,0,300.088,0
1958-01-07 03:00:00,94.4078,9.95696e-05,293.517,0.2
1958-01-07 09:00:00,92.1794,7.67708e-05,291.542,0.07
1958-01-07 15:00:00,84.94,-4.23516e-22,298.62,0
1958-01-07 21:00:00,75.1194,0,300.69,0
1958-01-08 03:00:00,91.729,8.43108e-05,293.623,0.22
1958-01-08 09:00:00,91.6145,0.000108212,290.69,0.01
1958-01-08 15:00:00,98.6295,0.000317097,293.996,1.91
1958-01-08 21:00:00,93.8748,3.16501e-05,294.241,3.62
1958-01-09 03:00:00,94.5301,0.000501007,293.083,2.31
1958-01-09 09:00:00,95.8671,0.000501007,292.974,2.86
1958-01-09 15:00:00,95.8398,0.000465482,291.566,0.69
1958-01-09 21:00:00,97.2965,0.000447452,292.493,2.93
1958-01-10 03:00:00,96.0235,0.000487328,292.341,3.04
1958-01-10 09:00:00,94.0456,0.000501007,292.509,4.33
1958-01-10 15:00:00,97.7172,0.000465572,292.814,6.75
1958-01-10 21:00:00,95.7501,0.00017646,293.777,15.09
1958-01-11 03:00:00,97.2527,0.000419021,292.905,9.45
1958-01-11 09:00:00,97.5237,0.000313073,293.023,11.57
1958-01-11 15:00:00,97.3835,0.000186116,293.672,19.01
1958-01-11 21:00:00,90.8049,1.75834e-06,295.471,33.6
1958-01-12 03:00:00,96.7292,0.000193298,293.146,16.48
1958-01-12 09:00:00,96.597,0.00026077,293.174,18.04
1958-01-12 15:00:00,95.5999,6.34491e-05,294.757,33.11
1958-01-12 21:00:00,87.068,-2.11758e-22,297.509,0
1958-01-13 03:00:00,96.1917,6.30319e-05,293.606,0.21
1958-01-13 09:00:00,96.1684,0.000205398,293.839,0.85
1958-01-13 15:00:00,95.6317,2.70307e-05,295.622,4.45
1958-01-13 21:00:00,80.1964,0,299.544,0
1958-01-14 03:00:00,95.6256,0.000101954,293.489,0.2
1958-01-14 09:00:00,97.2469,0.000313818,293.934,0.91
1958-01-14 15:00:00,89.6396,-1.69407e-21,295.976,0
1958-01-14 21:00:00,75.7963,-2.11758e-22,298.724,0
1958-01-15 03:00:00,89.9385,9.89139e-05,292.225,0.06
1958-01-15 09:00:00,93.493,7.689e-05,293.263,0.55
1958-01-15 15:00:00,85.47,0,296.437,0
1958-01-15 21:00:00,73.6237,0,298.969,0
1958-01-16 03:00:00,87.4384,9.77516e-05,291.549,0.02
1958-01-16 09:00:00,87.9579,9.59635e-05,289.326,0
1958-01-16 15:00:00,88.0405,-8.47033e-22,295.526,0
1958-01-16 21:00:00,85.7955,0,295.954,0
1958-01-17 03:00:00,95.399,0.000501007,292.976,0.13
1958-01-17 09:00:00,97.5218,0.000487745,292.223,0.19
1958-01-17 15:00:00,97.3769,0.000470787,291.384,0.11
1958-01-17 21:00:00,96.5636,0.000391662,292.223,0.66
1958-01-18 03:00:00,96.0905,0.000501007,292.08,0.81
1958-01-18 09:00:00,97.8056,0.000493199,291.821,0.78
1958-01-18 15:00:00,96.946,0.000467688,291.641,0.78
1958-01-18 21:00:00,96.5596,0.000462949,292.381,2.6
1958-01-19 03:00:00,95.3198,0.00049153,291.91,1.79
1958-01-19 09:00:00,96.0604,0.000501007,291.989,2.38
1958-01-19 15:00:00,97.2224,0.000455856,292.964,7.66
1958-01-19 21:00:00,91.2383,0,294.261,0
1958-01-20 03:00:00,96.0129,4.77731e-05,292.777,0.11
1958-01-20 09:00:00,91.5345,1.99676e-06,293.433,0.63
1958-01-20 15:00:00,89.9791,-2.11758e-22,295.609,0
1958-01-20 21:00:00,81.1903,-2.11758e-22,299.093,0
1958-01-21 03:00:00,95.5026,7.90954e-05,293.102,0.14
1958-01-21 09:00:00,95.8257,6.88136e-05,293.633,0.73
1958-01-21 15:00:00,95.0303,0.000138104,294.726,2.93
1958-01-21 21:00:00,82.9803,-2.11758e-22,297.932,0
1958-01-22 03:00:00,96.4333,9.37581e-05,293.193,0.15
1958-01-22 09:00:00,92.4708,3.82364e-05,292.723,0.34
1958-01-22 15:00:00,88.3083,-2.11758e-22,298.042,0
1958-01-22 21:00:00,76.817,0,300.371,0
1958-01-23 03:00:00,93.5882,7.05123e-05,294.127,0.31
1958-01-23 09:00:00,90.5967,8.67844e-05,291.752,0.1
1958-01-23 15:00:00,81.9818,-8.47033e-22,298.184,0
1958-01-23 21:00:00,71.6657,-4.23516e-22,300.744,0
1958-01-24 03:00:00,91.0592,7.57575e-05,293.668,0.22
1958-01-24 09:00:00,91.3653,1.35005e-05,292.216,0.19
1958-01-24 15:00:00,78.2087,-2.11758e-22,298.528,0
1958-01-24 21:00:00,70.9515,-2.11758e-22,301.484,0
1958-01-25 03:00:00,98.217,0.000338376,295.275,0.58
1958-01-25 09:00:00,93.241,3.618e-05,294.134,1.03
1958-01-25 15:00:00,82.2601,-8.47033e-22,298.59,0
1958-01-25 21:00:00,76.7303,-4.23516e-22,299.707,0
1958-01-26 03:00:00,95.3453,0.000116825,293.102,0.14
1958-01-26 09:00:00,90.9351,4.11868e-05,291.272,0.05
1958-01-26 15:00:00,70.2555,-8.47033e-22,298.086,0
1958-01-26 21:00:00,69.9868,0,301.368,0
1958-01-27 03:00:00,87.4181,7.34329e-05,293.909,0.27
1958-01-27 09:00:00,87.9452,5.28693e-05,292.147,0.18
1958-01-27 15:00:00,81.9168,-4.23516e-22,299.172,0
1958-01-27 21:00:00,74.1673,-4.23516e-22,300.614,0
1958-01-28 03:00:00,94.0736,0.000113189,293.471,0.19
1958-01-28 09:00:00,85.2995,0.00010094,290.686,0.01
1958-01-28 15:00:00,75.0056,-2.11758e-22,298.06,0
1958-01-28 21:00:00,73.3311,-2.11758e-22,300.283,0
1958-01-29 03:00:00,95.6822,0.000117332,293.19,0.15
1958-01-29 09:00:00,85.6143,0.000106752,290.223,0
1958-01-29 15:00:00,74.9451,-8.47033e-22,297.782,0
1958-01-29 21:00:00,73.4546,-4.23516e-22,300.031,0
1958-01-30 03:00:00,90.5362,9.61125e-05,292.481,0.08
