"date","RH","CM","CT","num_infect"
1958-01-01 06:00:00,86.773,0,297.6,0
1958-01-01 12:00:00,97.8771,4.58658e-05,294.155,0.31
1958-01-01 18:00:00,98.6224,0.000245333,293.472,0.65
1958-01-02 00:00:00,90.3091,0,295.831,0
1958-01-02 06:00:00,80.4975,-4.23516e-22,299.315,0
1958-01-02 12:00:00,97.8379,7.30157e-06,293.906,0.27
1958-01-02 18:00:00,97.9571,7.48038e-06,293.017,0.44
1958-01-03 00:00:00,88.013,0,295.68,0
1958-01-03 06:00:00,74.0178,0,300.325,0
1958-01-03 12:00:00,97.4562,1.72555e-05,293.959,0.27
1958-01-03 18:00:00,97.529,3.35276e-05,292.977,0.43
1958-01-04 00:00:00,87.6143,-4.23516e-22,295.588,0
1958-01-04 06:00:00,70.5116,-2.11758e-22,300.889,0
1958-01-04 12:00:00,96.2865,1.70171e-05,293.778,0.24
1958-01-04 18:00:00,95.3907,0.000213236,291.296,0.05
1958-01-05 00:00:00,91.8737,2.68221e-06,294.61,2.75
1958-01-05 06:00:00,77.3451,0,300.464,0
1958-01-05 12:00:00,97.742,5.37932e-05,293.641,0.22
1958-01-05 18:00:00,97.1322,2.0653e-05,292.614,0.3
1958-01-06 00:00:00,91.8121,1.10269e-06,294.374,2.41
1958-01-06 06:00:00,92.5899,1.42753e-05,296.713,10.21
1958-01-06 12:00:00,97.5855,0.000387132,293.263,2.68
1958-01-06 18:00:00,98.6256,0.000494808,293.077,3.13
1958-01-07 00:00:00,97.1912,0.000458479,293.434,5.35
1958-01-07 06:00:00,77.7212,0,299.059,0
1958-01-07 12:00:00,96.7219,1.63615e-05,293.476,0.19
1958-01-07 18:00:00,97.1869,2.6077e-05,292.455,0.25
1958-01-08 00:00:00,85.4758,0,295.704,0
1958-01-08 06:00:00,67.6092,-2.11758e-22,300.27,0
1958-01-08 12:00:00,90.5,-4.23516e-22,293.518,0
1958-01-08 18:00:00,97.2414,3.61204e-05,291.689,0.03
1958-01-09 00:00:00,92.7688,3.99351e-06,294.196,1.08
1958-01-09 06:00:00,73.574,-8.47033e-22,300.357,0
1958-01-09 12:00:00,97.4623,-3.38813e-21,293.801,0
1958-01-09 18:00:00,93.7619,5.0962e-06,292.869,0.12
1958-01-10 00:00:00,88.3224,0,295.872,0
1958-01-10 06:00:00,71.9826,-2.11758e-22,301.101,0
1958-01-10 12:00:00,97.4907,-4.23516e-22,294.882,0
1958-01-10 18:00:00,93.7955,5.00679e-06,293.121,0.14
1958-01-11 00:00:00,94.4655,1.2517e-06,295.143,1.81
1958-01-11 06:00:00,89.9394,-4.23516e-22,297.522,0
1958-01-11 12:00:00,98.1698,9.08673e-05,294.732,0.44
1958-01-11 18:00:00,98.7327,0.000404894,293.785,0.82
1958-01-12 00:00:00,96.1747,2.03252e-05,295.343,3.95
1958-01-12 06:00:00,78.0251,-4.23516e-22,300.149,0
1958-01-12 12:00:00,98.0096,1.00434e-05,294.352,0.35
1958-01-12 18:00:00,98.4742,5.82635e-05,294.092,1.01
1958-01-13 00:00:00,90.0365,-2.11758e-22,296.083,0
1958-01-13 06:00:00,72.2045,-2.11758e-22,301.551,0
1958-01-13 12:00:00,97.4966,2.00868e-05,294.031,0.29
1958-01-13 18:00:00,97.9989,3.09646e-05,293.383,0.61
1958-01-14 00:00:00,91.1778,0,295.375,0
1958-01-14 06:00:00,67.3654,-8.47033e-22,301.778,0
1958-01-14 12:00:00,93.5251,1.63615e-05,293.611,0.21
1958-01-14 18:00:00,94.7902,0.00025183,290.219,0
1958-01-15 00:00:00,92.3402,2.22623e-05,293.212,1.07
1958-01-15 06:00:00,61.0131,-4.23516e-22,301.741,0
1958-01-15 12:00:00,90.8817,1.3113e-05,292.921,0.12
1958-01-15 18:00:00,88.2126,0.000216663,288.547,0
1958-01-16 00:00:00,88.9011,1.13845e-05,292.455,0.52
1958-01-16 06:00:00,64.8347,-8.47033e-22,301.241,0
1958-01-16 12:00:00,89.6677,-1.69407e-21,293.281,0
1958-01-16 18:00:00,90.7735,0.00021857,288.95,0
1958-01-17 00:00:00,93.3507,1.80602e-05,293.746,0.8
1958-01-17 06:00:00,69.3864,-2.11758e-22,300.857,0
1958-01-17 12:00:00,96.9637,9.41753e-06,293.447,0.19
1958-01-17 18:00:00,91.6914,4.02331e-06,292.48,0.26
1958-01-18 00:00:00,91.963,0,293.893,0
1958-01-18 06:00:00,62.3509,-2.11758e-22,301.055,0
1958-01-18 12:00:00,83.3628,-3.38813e-21,293.141,0
1958-01-18 18:00:00,88.6047,-8.47033e-22,291.156,0
1958-01-19 00:00:00,91.2421,2.98619e-05,293.758,0.24
1958-01-19 06:00:00,97.6049,0.000303835,296.188,2.81
1958-01-19 12:00:00,97.977,0.000499606,293.226,1.08
1958-01-19 18:00:00,99.0158,0.000312626,293.173,1.7
1958-01-20 00:00:00,98.8391,0.000469983,294.231,5.2
1958-01-20 06:00:00,96.0137,0.000120968,296.32,16.21
1958-01-20 12:00:00,97.0594,9.68277e-05,293.84,7.05
1958-01-20 18:00:00,98.544,0.000475109,293.398,6.47
1958-01-21 00:00:00,98.0307,0.000465363,294.412,14.06
1958-01-21 06:00:00,88.3559,-2.11758e-22,296.826,0
1958-01-21 12:00:00,97.7915,0.000495374,293.824,0.25
1958-01-21 18:00:00,98.5328,0.000501007,293.399,0.61
1958-01-22 00:00:00,98.7044,0.000466466,294.352,2.38
1958-01-22 06:00:00,93.6439,4.67002e-05,296.45,9.46
1958-01-22 12:00:00,98.3731,0.00049758,293.865,4.15
1958-01-22 18:00:00,98.9118,0.000498682,293.781,5.3
1958-01-23 00:00:00,98.1643,0.000452012,294.307,9.25
1958-01-23 06:00:00,84.7708,-2.11758e-22,297.855,0
1958-01-23 12:00:00,96.8664,2.50041e-05,294.2,0.32
1958-01-23 18:00:00,98.3197,0.000160038,293.308,0.57
1958-01-24 00:00:00,96.257,0.00018093,293.94,1.84
1958-01-24 06:00:00,85.7487,-2.11758e-22,297.083,0
1958-01-24 12:00:00,94.359,-8.47033e-22,293.841,0
1958-01-24 18:00:00,96.4873,8.44598e-05,293.086,0.14
1958-01-25 00:00:00,94.5093,2.88188e-05,294.816,1.54
1958-01-25 06:00:00,84.2763,-2.11758e-22,297.738,0
1958-01-25 12:00:00,97.5808,0.000271887,294.103,0.3
1958-01-25 18:00:00,97.858,0.000457764,293.843,0.85
1958-01-26 00:00:00,96.8476,0.000293225,295.008,3.38
1958-01-26 06:00:00,96.8508,0.000394881,295.88,7.82
1958-01-26 12:00:00,98.2766,0.00049293,294.339,5.53
1958-01-26 18:00:00,97.7049,0.000495791,293.902,5.73
1958-01-27 00:00:00,96.7066,0.000320524,294.74,11.45
1958-01-27 06:00:00,76.2307,-2.11758e-22,299.874,0
1958-01-27 12:00:00,94.7103,0,294.157,0
1958-01-27 18:00:00,96.4828,6.4075e-06,293.389,0.18
1958-01-28 00:00:00,92.2836,1.46031e-06,295.28,1.93
1958-01-28 06:00:00,78.0491,0,299.541,0
1958-01-28 12:00:00,95.0767,4.3124e-05,294.075,0.3
1958-01-28 18:00:00,97.294,0.000473082,293.437,0.63
1958-01-29 00:00:00,92.2796,6.10948e-06,295.152,3.62
1958-01-29 06:00:00,77.7267,-8.47033e-22,299.114,0
1958-01-29 12:00:00,94.6311,1.02222e-05,293.847,0.25
1958-01-29 18:00:00,96.9942,7.04825e-05,292.915,0.41
1958-01-30 00:00:00,96.9211,0.000282049,293.815,1.69
1958-01-30 06:00:00,83.7099,-4.23516e-22,297.604,0
1958-01-30 12:00:00,96.7379,0.000317365,293.498,0.2
1958-01-30 18:00:00,96.6408,0.000464886,292.846,0.38
1958-01-31 00:00:00,93.8514,1.55866e-05,294.37,2.4
1958-01-31 06:00:00,86.6919,-4.23516e-22,296.581,0
1958-01-31 12:00:00,96.453,0.00031662,293.431,0.19
1958-01-31 18:00:00,97.7358,0.000493497,293.415,0.62
1958-02-01 00:00:00,96.371,0.000343412,294.14,2.09
1958-02-01 06:00:00,85.0484,-4.23516e-22,297.304,0
1958-02-01 12:00:00,96.0465,-8.47033e-22,293.763,0
1958-02-01 18:00:00,98.98,0.000444621,293.296,0.17
1958-02-02 00:00:00,98.6669,0.000471711,293.967,0.93
1958-02-02 06:00:00,97.2606,0.000377268,295.802,4.78
1958-02-02 12:00:00,97.9659,0.000493884,293.748,2.64
1958-02-02 18:00:00,98.2958,0.000191003,293.682,3.67
1958-02-03 00:00:00,94.7727,3.69549e-05,294.652,8.71
1958-02-03 06:00:00,78.45,-8.47033e-22,299.646,0
1958-02-03 12:00:00,96.9904,3.77595e-05,294.216,0.33
1958-02-03 18:00:00,98.323,0.000248164,293.617,0.73
1958-02-04 00:00:00,92.478,-4.23516e-22,295.276,0
1958-02-04 06:00:00,76.0161,-4.23516e-22,300.544,0
1958-02-04 12:00:00,94.0961,4.41074e-06,294.273,0.34
1958-02-04 18:00:00,97.9416,0.000121295,293.611,0.72
1958-02-05 00:00:00,93.6031,1.30236e-05,294.916,3.23
1958-02-05 06:00:00,81.281,-4.23516e-22,297.858,0
1958-02-05 12:00:00,97.5636,0.000237346,293.921,0.27
1958-02-05 18:00:00,98.8468,0.000380576,293.796,0.83
1958-02-06 00:00:00,98.0818,0.000420362,294.727,2.93
1958-02-06 06:00:00,78.1194,-4.23516e-22,299.314,0
1958-02-06 12:00:00,97.757,1.87755e-05,293.581,0.21
1958-02-06 18:00:00,98.0104,3.62992e-05,293.157,0.5
1958-02-07 00:00:00,88.5642,0,296.095,0
1958-02-07 06:00:00,65.5081,-8.47033e-22,301.568,0
1958-02-07 12:00:00,90.438,1.20997e-05,293.096,0.14
1958-02-07 18:00:00,93.9353,0.000173777,290.809,0.02
1958-02-08 00:00:00,93.2208,4.67896e-06,294.859,3.14
1958-02-08 06:00:00,70.2357,-8.47033e-22,302.288,0
1958-02-08 12:00:00,97.3079,1.27852e-05,294.197,0.32
1958-02-08 18:00:00,99.7609,5.41806e-05,293.088,0.47
1958-02-09 00:00:00,94.2647,2.03252e-05,294.53,2.63
1958-02-09 06:00:00,69.7815,-8.47033e-22,301.754,0
1958-02-09 12:00:00,97.6011,2.53916e-05,294.511,0.39
1958-02-09 18:00:00,94.8611,1.67191e-05,293.928,0.9
1958-02-10 00:00:00,93.5188,1.03712e-05,295.193,3.69
1958-02-10 06:00:00,69.3904,-8.47033e-22,301.639,0
1958-02-10 12:00:00,97.1148,5.39422e-06,293.85,0.26
1958-02-10 18:00:00,95.668,1.60336e-05,292.947,0.42
1958-02-11 00:00:00,88.8731,-4.23516e-22,296.106,0
1958-02-11 06:00:00,68.6742,-8.47033e-22,301.899,0
1958-02-11 12:00:00,95.9601,-8.47033e-22,294.23,0
1958-02-11 18:00:00,95.559,0.000127375,291.876,0.04
1958-02-12 00:00:00,86.5862,0,295.119,0
1958-02-12 06:00:00,67.4966,-1.69407e-21,301.598,0
1958-02-12 12:00:00,87.1885,0,294.459,0
1958-02-12 18:00:00,95.8158,2.51532e-05,292.099,0.05
1958-02-13 00:00:00,87.1848,-2.11758e-22,294.866,0
1958-02-13 06:00:00,79.401,-4.23516e-22,297.937,0
1958-02-13 12:00:00,92.5564,0,293.852,0
1958-02-13 18:00:00,93.4798,3.25441e-05,291.738,0.03
1958-02-14 00:00:00,89.3637,0,294.712,0
1958-02-14 06:00:00,82.5917,-2.11758e-22,297.705,0
1958-02-14 12:00:00,96.4004,0.00024426,293.883,0.26
1958-02-14 18:00:00,98.1747,0.000492156,293.837,0.85
1958-02-15 00:00:00,97.4691,0.000463516,294.094,2.03
1958-02-15 06:00:00,94.7113,0.000151515,295.027,5.49
1958-02-15 12:00:00,96.7002,0.000413477,293.206,2.56
1958-02-15 18:00:00,98.5231,0.000498265,292.807,2.46
1958-02-16 00:00:00,97.53,0.000448525,293.507,5.64
1958-02-16 06:00:00,85.9043,-3.38813e-21,296.751,0
1958-02-16 12:00:00,94.4014,8.43406e-06,292.659,0.09
1958-02-16 18:00:00,94.5668,0.000114709,291.205,0.04
1958-02-17 00:00:00,88.5506,-4.23516e-22,294.038,0
1958-02-17 06:00:00,69.4646,-8.47033e-22,299.406,0
1958-02-17 12:00:00,88.3337,-8.47033e-22,291.917,0
1958-02-17 18:00:00,90.1662,0.000166178,289.326,0
1958-02-18 00:00:00,87.4624,-8.47033e-22,293.855,0
1958-02-18 06:00:00,67.1454,-4.23516e-22,300.514,0
1958-02-18 12:00:00,89.3864,-4.23516e-22,292.496,0
1958-02-18 18:00:00,91.8593,0.000205517,289.197,0
1958-02-19 00:00:00,91.6263,1.65403e-05,293.109,0.48
1958-02-19 06:00:00,65.1131,-1.69407e-21,300.925,0
1958-02-19 12:00:00,92.1964,1.37687e-05,292.212,0.06
1958-02-19 18:00:00,93.4674,0.000216991,289.999,0
1958-02-20 00:00:00,91.662,1.40071e-06,294.033,1.95
1958-02-20 06:00:00,65.6446,-4.23516e-22,301.167,0
1958-02-20 12:00:00,90.065,1.0103e-05,292.412,0.07
1958-02-20 18:00:00,95.1523,0.000175208,290.197,0
1958-02-21 00:00:00,91.0402,-1.69407e-21,294.043,0
1958-02-21 06:00:00,72.9151,-4.23516e-22,300.8,0
1958-02-21 12:00:00,95.6746,3.57628e-06,292.754,0.1
1958-02-21 18:00:00,88.2523,0.000128269,289.499,0
1958-02-22 00:00:00,87.6177,0,293.843,0
1958-02-22 06:00:00,67.1251,-2.11758e-22,300.538,0
1958-02-22 12:00:00,87.6387,-6.77626e-21,293.729,0
1958-02-22 18:00:00,91.7497,3.83258e-05,290.603,0
1958-02-23 00:00:00,93.7361,5.03063e-05,293.223,0.53
1958-02-23 06:00:00,78.5075,-8.47033e-22,298.42,0
1958-02-23 12:00:00,91.8983,-1.69407e-21,293.281,0
1958-02-23 18:00:00,96.9638,8.6695e-05,291.509,0.02
1958-02-24 00:00:00,89.4326,0,295.237,0
1958-02-24 06:00:00,74.2126,-8.47033e-22,300.401,0
1958-02-24 12:00:00,91.5198,-4.23516e-22,294.539,0
1958-02-24 18:00:00,97.8711,1.01328e-05,292.519,0.08
1958-02-25 00:00:00,87.4452,-8.47033e-22,295.691,0
1958-02-25 06:00:00,80.4445,-4.23516e-22,299.427,0
1958-02-25 12:00:00,94.2524,9.53674e-06,294.646,0.42
1958-02-25 18:00:00,98.018,9.33409e-05,293.706,0.77
